Work Group,Location Name,Completed Date,Street Segment IDs
LONG LINE,  COLORADO ST from   W CESAR CHAVEZ ST  to   <br />W 10TH ST ,7/31/2018 22:44," COLORADO ST (2018920)
 COLORADO ST (2018844)
 COLORADO ST (2018778)
 COLORADO ST (2018710)
 COLORADO ST (2018634)
 COLORADO ST (2019051)
 COLORADO ST (2018571)
 COLORADO ST (2018490)"
LONG LINE, ANCHOR LN /  MANORWOOD RD,8/2/2018 7:39, E 38TH HALF ST (2017250)
LONG LINE,  TOMANET TRL from   CEDAR BEND DR  to   <br />W PARMER LN ,8/2/2018 16:08," TOMANET TRL (2006109)
 TOMANET TRL (2006239)
 TOMANET TRL (2006211)
 TOMANET TRL (2039199)"
LONG LINE,  CULLEN LN from   RALPH ABLANEDO DR  to   <br />W SLAUGHTER LN ,8/8/2018 13:45, CULLEN LN (2042143)
LONG LINE,  KENTISH DR from   MARSH DR  to 2823  <br />KENTISH DR ,8/8/2018 13:46, CURLEW DR (2026048)
LONG LINE,  S 2ND ST from   SOUTH CENTER ST  to   <br />BANISTER LN ,8/8/2018 14:12," S 2ND ST (2024168)
 SOUTH CENTER ST (2024104)
 S 2ND ST (2024103)"
LONG LINE,  SMITH OAK TRL from   OLD FREDERICKSBURG RD  to   <br />SUMMERSET TRL ,8/10/2018 7:51," SMITH OAK TRL (2024172)
 SMITH OAK TRL (2024151)
 SMITH OAK TRL (2024131)
 SMITH OAK TRL (2024114)
 SMITH OAK TRL (2024197)"
LONG LINE,  DENSON DR from   N LAMAR BLVD  to   <br />AIRPORT BLVD ,8/10/2018 8:09," DENSON DR (2040420)
 DENSON DR (2040412)
 DENSON DR (2012093)
 DENSON DR (2012064)"
LONG LINE, FRONTIER VALLEY DR /  E RIVERSIDE DR,8/10/2018 8:17, FRONTIER VALLEY DR (5125429)
LONG LINE,  W 35TH ST from   KERBEY LN  to   <br />W 34TH ST ,8/10/2018 16:13," SHOAL CREEK BLVD (2016472)
 W 34TH ST (2016329)
 W 35TH ST (2019882)
 W 35TH ST (2019881)
 W 35TH ST (2019878)
 W 34TH ST (2019818)
 W 34TH ST (2019817)
 W 34TH ST (2019810)
 W 34TH ST (2040706)
 W 35TH ST (2040680)"
LONG LINE,  JEFFERSON ST from   NORTHWOOD RD  to   <br />W 38TH ST ,8/10/2018 16:34," JEFFERSON ST (2047091)
 JEFFERSON ST (2016305)
 JEFFERSON ST (2016242)
 JEFFERSON ST (2016226)
 W 35TH ST (2016155)
 JEFFERSON ST (2016154)
 JEFFERSON ST (2016047)
 JEFFERSON ST (2016488)
 JEFFERSON ST (2016440)
 JEFFERSON ST (2016387)
 JEFFERSON ST (2020196)
 JEFFERSON ST (2020167)
 JEFFERSON ST (2020143)"
LONG LINE,  JONES RD from   SUNSET TRL  to   <br />REESE DR ,8/13/2018 17:12, JONES RD (2024253)
LONG LINE, S 1ST ST /  W ST ELMO RD,8/14/2018 11:32," W ST ELMO RD (2043010)
 S 2ND ST (2024502)
 W ST ELMO RD (2024400)
 S 3RD ST (2024484)
 W ST ELMO RD (2026076)
 W ST ELMO RD (2041630)"
LONG LINE,  RENFERT WAY from   PARK BEND DR  to   <br />CEDAR BEND DR ,8/15/2018 16:58, RENFERT WAY (2039287)
LONG LINE,  DESSAU RD from   E HOWARD LN  to   <br />E PARMER LN ,8/15/2018 17:02," DESSAU RD (2035997)
 DESSAU RD (2038096)
 DESSAU RD (2037949)
 DESSAU RD (3500739)
 DESSAU RD (3268074)
 DESSAU RD (3268073)
 DESSAU RD (3268071)
 DESSAU RD (3268051)
 DESSAU RD (3268050)
 DESSAU RD (3268047)
 DESSAU RD (3268040)
 DESSAU RD (3268036)
 DESSAU RD (3268035)
 DESSAU RD (3268032)
 DESSAU RD (3268029)"
LONG LINE,  DESSAU RD from 13500  FISH LN  to 13500  <br />E HOWARD LN ,8/15/2018 17:14, DESSAU RD (2038175)
LONG LINE,4200  FREIDRICH LN from 2000  E ST ELMO RD  to 2100  <br />WOODWARD ST ,8/16/2018 15:28," E ST ELMO RD (2023190)
 E ST ELMO RD (2023181)
 FREIDRICH LN (2023180)"
LONG LINE,  SPRINKLE CUTOFF RD from   SAMSUNG BLVD  to   <br />SPRINKLE RD ,8/16/2018 15:35," SPRINKLE CUTOFF RD (5405725)
 SPRINKLE CUTOFF RD (3195007)"
LONG LINE, S MOPAC EXPY SB /  SOUTHWEST PKWY,8/18/2018 7:45, SOUTHWEST PKWY (2041445)
LONG LINE, W SLAUGHTER LN /  BRODIE LN,8/18/2018 7:51, W SLAUGHTER LN (2025842)
LONG LINE,  TOMANET TRL from   CEDAR BEND DR  to   <br />W PARMER LN ,8/18/2018 8:41," TOMANET TRL (2006109)
 TOMANET TRL (2006239)
 TOMANET TRL (2006211)
 TOMANET TRL (2039199)"
LONG LINE,  UTAH FLATS DR from   WILL ROGERS LN  to   <br />SCOFIELD RIDGE PKWY ,8/18/2018 8:45, UTAH FLATS DR (2005699)
LONG LINE,  NORTH BEND DR from   N LAMAR BLVD  to   <br />AUSTIN PARK LN ,8/18/2018 10:03," NORTH BEND DR (2009936)
 NORTH BEND DR (2009922)
 NORTH BEND DR (2009891)
 NORTH BEND DR (2009972)
 NORTH BEND DR (2009944)"
LONG LINE,  AUSTIN PARK LN from   PLAINS TRL  to   <br />KNOLLPARK DR ,8/18/2018 10:07," AUSTIN PARK LN (2009883)
 AUSTIN PARK LN (2009860)
 AUSTIN PARK LN (2009962)
 AUSTIN PARK LN (2009938)
 AUSTIN PARK LN (2009903)
 AUSTIN PARK LN (2039477)"
LONG LINE,  ANGELINA ST from   ROSEWOOD AVE  to 1202  <br />ANGELINA ST ,8/18/2018 10:58, ANGELINA ST (2018641)
LONG LINE, COVERED BRIDGE DR /  NANDAS TRL,8/21/2018 9:15, COVERED BRIDGE DR (2042975)
LONG LINE,  ESCARPMENT BLVD from 6900  W WILLIAM CANNON DR  to 7500  <br />OLIVER LOVING TRL ,8/21/2018 15:17," ESCARPMENT BLVD (2024262)
 ESCARPMENT BLVD (3260315)
 ESCARPMENT BLVD (2038200)
 ESCARPMENT BLVD (2038199)
 ESCARPMENT BLVD (3260318)
 ESCARPMENT BLVD (2038198)
 ESCARPMENT BLVD (3260321)
 ESCARPMENT BLVD (3260323)
 ESCARPMENT BLVD (3260324)
 ESCARPMENT BLVD (2024216)
 ESCARPMENT BLVD (3260320)
 ESCARPMENT BLVD (2024328)"
LONG LINE,  VISTA PARKE DR from   N FM 620 RD  to   <br />WILSON PARKE AVE ,8/23/2018 11:22, RENFERT WAY (2039287)
LONG LINE,  BERKMAN DR from   E 51ST ST  to   <br />E US 290 HWY EB ,8/24/2018 12:20," BERKMAN DR (2016221)
 BERKMAN DR (2016181)
 BERKMAN DR (2016126)
 BERKMAN DR (2016070)
 BERKMAN DR (2016010)
 BERKMAN DR (2015949)
 BERKMAN DR (2015326)
 BERKMAN DR (2015289)
 BERKMAN DR (2015237)
 BERKMAN DR (2015231)
 BERKMAN DR (2015646)
 BERKMAN DR (2015584)
 BERKMAN DR (2015534)
 BERKMAN DR (2015493)
 BERKMAN DR (2015463)
 BERKMAN DR (2015422)
 BERKMAN DR (2015371)
 BERKMAN DR (2016330)
 BERKMAN DR (2015747)
 BERKMAN DR (2015893)
 BERKMAN DR (2015830)
 BERKMAN DR (2015774)
 BERKMAN DR (3189476)"
LONG LINE,  WHISPERING VALLEY DR from   DUVAL RD  to   <br />SWITCH WILLO ,8/27/2018 15:59," WHISPERING VALLEY DR (2006320)
 WHISPERING VALLEY DR (2006336)"
LONG LINE,  E POWELL LN from   N IH 35 SB  to   <br />N LAMAR BLVD ,8/27/2018 16:01," W POWELL LN (2040117)
 E POWELL LN (2011403)
 E POWELL LN (2011356)
 GEORGIAN DR (2011333)"
LONG LINE,  SMALL DR from   CROSS VALLEY RUN  to   <br />WESTSLOPE DR ,8/29/2018 8:15, SMALL DR (2042818)
LONG LINE, KRAMER LN /  PLAINS TRL,8/29/2018 8:23, PLAINS TRL (2010044)
LONG LINE, DAVIS LN /  BRODIE LN,8/29/2018 15:26," DAVIS LN (2041960)
 DAVIS LN (5119125)"
LONG LINE, DAVIS LN /  S MOPAC EXPY SB,8/30/2018 8:00, DAVIS LN (2038346)
LONG LINE,  MC NEIL DR from 7300  N US 183 HWY NB  to 6800  <br />OAK KNOLL DR ,9/4/2018 11:27," MC NEIL DR (3323859)
 MC NEIL DR (2007558)
 MC NEIL DR (2007574)
 MC NEIL DR (2007599)
 MC NEIL DR (2007607)
 MC NEIL DR (2007623)
 MC NEIL DR (2007642)
 MC NEIL DR (3193469)"
LONG LINE, BRODIE LN /  W WILLIAM CANNON DR,9/5/2018 9:21," W WILLIAM CANNON DR (3188747)
 W WILLIAM CANNON DR (2024677)
 W WILLIAM CANNON DR (2026269)"
LONG LINE, LA CRESADA DR /  DAVIS LN,9/7/2018 14:43," LA CRESADA DR (2025076)
 LA CRESADA DR (2026334)
 LA CRESADA DR (2026333)"
LONG LINE,  LAMPLIGHT VILLAGE AVE from   METRIC BLVD  to   <br />W PARMER LN ,9/11/2018 8:09," LAMPLIGHT VILLAGE AVE (3312439)
 LAMPLIGHT VILLAGE AVE (2006220)
 LAMPLIGHT VILLAGE AVE (2006326)
 LAMPLIGHT VILLAGE AVE (2006375)
 LAMPLIGHT VILLAGE AVE (3312438)"
LONG LINE,  MC NEIL DR from 7300  N US 183 HWY NB  to 6800  <br />OAK KNOLL DR ,9/11/2018 8:11," MC NEIL DR (3323859)
 MC NEIL DR (2007558)
 MC NEIL DR (2007574)
 MC NEIL DR (2007599)
 MC NEIL DR (2007607)
 MC NEIL DR (2007623)
 MC NEIL DR (2007642)
 MC NEIL DR (3193469)"
LONG LINE,  WINDSOR RD from   S LAMAR BLVD  to   <br />WOODLAWN BLVD ,9/12/2018 14:47," W 24TH ST (2047052)
 WINDSOR RD (2021905)
 WINDSOR RD (2021904)
 W 24TH ST (2040909)"
LONG LINE, W 6TH ST /  BOWIE ST,9/17/2018 10:06, BOWIE ST (2019756)
LONG LINE, W 6TH ST /  N LAMAR BLVD,9/17/2018 12:30," W 6TH ST (2047061)
 N LAMAR BLVD (2019762)
 W 6TH ST (2019754)"
LONG LINE, S CONGRESS AVE /  W RIVERSIDE DR,9/17/2018 14:20, W RIVERSIDE DR (2019406)
LONG LINE, WOODWARD ST /  S IH 35 NB,9/17/2018 14:25, WOODWARD ST (2023055)
LONG LINE, RED RIVER ST /  E 45TH ST,9/19/2018 15:12, RED RIVER ST (2016343)
LONG LINE,  N LAMAR BLVD from   W 24TH ST  to   <br />W 29TH ST ,9/21/2018 13:55," N LAMAR BLVD (2037534)
 N LAMAR BLVD (2019786)
 N LAMAR BLVD (2037545)
 N LAMAR BLVD (2037542)
 N LAMAR BLVD (2019776)
 N LAMAR BLVD (2037546)
 N LAMAR BLVD (2019782)
 N LAMAR BLVD (2037543)
 N LAMAR BLVD (2037536)
 N LAMAR BLVD (2037535)
 N LAMAR BLVD (2037537)
 N LAMAR BLVD (2037531)"
LONG LINE,  EXPOSITION BLVD from 700  LAKE AUSTIN BLVD  to 2600  <br />WESTOVER RD ,9/25/2018 14:03," EXPOSITION BLVD (2020652)
 EXPOSITION BLVD (2020611)
 EXPOSITION BLVD (2020573)
 EXPOSITION BLVD (2020516)
 EXPOSITION BLVD (2020483)
 EXPOSITION BLVD (2020476)
 EXPOSITION BLVD (2020470)
 EXPOSITION BLVD (2020462)
 EXPOSITION BLVD (2020440)
 EXPOSITION BLVD (2020421)
 CLEARVIEW DR (2020394)
 EXPOSITION BLVD (2020393)
 EXPOSITION BLVD (2020319)
 EXPOSITION BLVD (2020293)
 EXPOSITION BLVD (2020242)
 EXPOSITION BLVD (2020225)
 EXPOSITION BLVD (2020194)
 EXPOSITION BLVD (2020165)
 EXPOSITION BLVD (2020142)
 WESTOVER RD (2020128)
 HILLVIEW RD (2020119)
 EXPOSITION BLVD (2020049)
 EXPOSITION BLVD (2040731)
 GILBERT ST (3377373)"
LONG LINE, WINDSOR RD /  WINSTED LN,9/25/2018 14:07, WINSTED LN (2021874)
LONG LINE,2000<br />BARTON SPRINGS RD ,9/27/2018 14:46, BARTON SPRINGS RD (2046726)
LONG LINE, W MARTIN LUTHER KING JR BLVD /  LAVACA ST,9/27/2018 14:52, LAVACA ST (2017875)
LONG LINE, W KOENIG LN /  GUADALUPE ST,10/1/2018 13:13, GUADALUPE ST (2040447)
LONG LINE,  MC CALL LN from   MC KINNEY FALLS PKWY  to   <br />S US 183 HWY NB ,10/3/2018 9:43, MC CALL LN (2043049)
LONG LINE,  VARGAS RD from   BASTROP HWY SB  to   <br />FELIX AVE ,10/3/2018 11:31," VARGAS RD (2022766)
 VARGAS RD (2041431)"
LONG LINE,  DROSSETT DR from   BURLESON RD  to   <br />WINNEBAGO LN ,10/4/2018 10:30, DROSSETT DR (2041766)
LONG LINE,  PALO BLANCO LN from   TERI RD  to   <br />NUCKOLS CROSSING RD ,10/10/2018 10:28," PALO BLANCO LN (2041974)
 PALO BLANCO LN (2041935)
 PALO BLANCO LN (2023492)
 PALO BLANCO LN (2023484)
 PALO BLANCO LN (2023478)
 PALO BLANCO LN (2023465)
 PALO BLANCO LN (2023453)
 PALO BLANCO LN (2023440)
 PALO BLANCO LN (2023435)
 PALO BLANCO LN (2023427)
 PALO BLANCO LN (2023396)
 PALO BLANCO LN (2023336)
 PALO BLANCO LN (2023322)
 PALO BLANCO LN (2023305)
 PALO BLANCO LN (2023291)"
LONG LINE,  PLEASANT VALLEY DR from   TERI RD  to   <br />E STASSNEY LN ,10/10/2018 10:34," S PLEASANT VALLEY RD (2023339)
 S PLEASANT VALLEY RD (2023337)"
LONG LINE,  TERI RD from   PLEASANT VALLEY DR  to   <br />NUCKOLS CROSSING RD ,10/10/2018 12:42," TERI RD (2023356)
 TERI RD (2023354)
 TERI RD (2023352)
 TERI RD (2023348)
 TERI RD (2023344)
 TERI RD (2023334)"
LONG LINE,  LANCASTER DR from   BARBARA JORDAN BLVD  to   <br />E 51ST ST ,10/11/2018 11:54," LANCASTER DR (2046253)
 LANCASTER DR (3316396)
 LANCASTER DR (3188490)"
LONG LINE,4308 TERRY O LN / 711 E ST ELMO RD,10/11/2018 12:02, E ST ELMO RD (2024606)
LONG LINE,5625 WEST GATE BLVD / 5625 W STASSNEY LN,10/11/2018 12:15, W STASSNEY LN (2041677)
LONG LINE,  CONVICT HILL RD from   ESCARPMENT BLVD  to   <br />BRODIE LN ,10/16/2018 7:00," CONVICT HILL RD (2041786)
 CONVICT HILL RD (2024710)
 CONVICT HILL RD (2024425)
 CONVICT HILL RD (2024391)
 CONVICT HILL RD (2024724)
 CONVICT HILL RD (2024402)
 CONVICT HILL RD (2038596)
 CONVICT HILL RD (2041706)
 CONVICT HILL RD (2024489)
 CONVICT HILL RD (2024398)
 CONVICT HILL RD (2024352)
 CONVICT HILL RD (2024414)
 CONVICT HILL RD (2041695)
 CONVICT HILL RD (2046348)
 CONVICT HILL RD (2024366)
 CONVICT HILL RD (2024690)
 CONVICT HILL RD (2024760)
 CONVICT HILL RD (2041649)
 CONVICT HILL RD (2048121)
 CONVICT HILL RD (2024766)"
LONG LINE,8506<br />GEORGIAN DR ,10/16/2018 7:03, GEORGIAN DR (2011199)
LONG LINE,  BALCONES DR from 5700  NORTHLAND DR  to 6200  <br />HART LN ,10/17/2018 14:00, BALCONES DR (3200416)
LONG LINE, TAYLOR DRAPER CV /  TAYLOR DRAPER LN,10/17/2018 14:54, TAYLOR DRAPER CV (2047349)
LONG LINE,  E 7TH ST from   N IH 35 SB  to   <br />NAVASOTA ST ,10/21/2018 13:19," WALLER ST (2018905)
 E 7TH ST (2018962)
 E 7TH ST (2018987)
 E 7TH ST (2018942)
 E 7TH ST (2018888)
 E 7TH ST (2018843)
 E 7TH ST (2018906)
 E 7TH ST (2018917)
 E 7TH ST (2018936)
 E 7TH ST (2018859)
 E 7TH ST (2018876)
 ATTAYAC ST (2019007)
 BRUSHY ST (2018913)
 LYDIA ST (2018941)
 MEDINA (2018957)
 NAVASOTA ST (2019028)
 NAVASOTA ST (2018961)
 SAN MARCOS ST (2018875)
 SAN MARCOS ST (2018937)
 WALLER ST (2018985)"
LONG LINE, PECAN BROOK DR /  LAZY CREEK DR,10/29/2018 11:24, PECAN BROOK DR (2015481)
LONG LINE,3900  STECK AVE from 4000  MESA DR  to 3500  <br />S MOPAC EXPY SB ,10/30/2018 8:34," SPICEWOOD LN (2010496)
 STECK AVE (2010495)
 STECK AVE (2010434)
 STECK AVE (2012397)
 STECK AVE (2010537)
 STECK AVE (2010511)
 STECK AVE (2010457)
 STECK AVE (2010442)
 STECK AVE (2036928)"
LONG LINE,  MEADOWMEAR DR from   DESSAU RD  to   <br />WARRINGTON DR ,10/30/2018 8:40, MEADOWMEAR DR (2012528)
LONG LINE,  TEASDALE TER from   E RUNDBERG LN  to   <br />ABERDEEN WAY ,10/30/2018 10:22," TEASDALE TER (2039967)
 TEASDALE TER (2010939)
 TEASDALE TER (2010977)
 TEASDALE TER (2011014)"
LONG LINE,  HANSFORD DR from   E RUNDBERG LN  to   <br />CHILDRESS DR ,10/30/2018 10:26," HANSFORD DR (2010884)
 HANSFORD DR (2011035)
 HANSFORD DR (2011025)"
LONG LINE,  CHILDRESS DR from   DESSAU RD  to   <br />DORSET DR ,10/30/2018 15:12, CHILDRESS DR (2010985)
LONG LINE,  DIAMONDBACK TRL from   DERRINGER TRL  to   <br />N IH 35 SB ,10/30/2018 15:17," DIAMONDBACK TRL (2010605)
 DIAMONDBACK TRL (2010562)"
LONG LINE,  S 3RD ST from   W GIBSON ST  to   <br />OAK CREST AVE ,10/30/2018 15:23," S 3RD ST (2023796)
 W LIVE OAK ST (2023782)
 W LIVE OAK ST (2023774)
 S 3RD ST (2023773)
 S 3RD ST (2023686)
 S 3RD ST (2023745)"
LONG LINE,  ELMONT DR from   TINNIN FORD RD  to   <br />S PLEASANT VALLEY RD ,10/30/2018 15:29, ELMONT DR (2022668)
LONG LINE,  WEST LYNN ST from   ENFIELD RD  to   <br />MURRAY LN ,11/2/2018 11:23, WEST LYNN ST (2020655)
LONG LINE,  EAST SIDE DR from   SUNSET LN  to   <br />E OLTORF ST ,11/6/2018 9:49," EAST SIDE DR (2041372)
 EAST SIDE DR (2022588)
 EAST SIDE DR (2022529)
 EAST SIDE DR (2022708)
 EAST SIDE DR (2022658)
 EAST SIDE DR (2041358)
 EAST SIDE DR (2022730)
 EAST SIDE DR (2022613)
 EAST SIDE DR (2022554)
 EAST SIDE DR (2022690)
 EAST SIDE DR (2022746)"
LONG LINE,  PROMONTORY POINT DR from   BURLESON RD  to   <br />WINNEBAGO LN ,11/7/2018 15:58, PROMONTORY POINT DR (2041793)
LONG LINE,  BRODIE LN from   W WILLIAM CANNON DR  to   <br />ALEXANDRIA DR ,11/12/2018 13:17," BRODIE LN (2035721)
 BRODIE LN (2047609)
 BRODIE LN (2047606)
 BRODIE LN (2041853)
 BRODIE LN (3188351)
 BRODIE LN (3188350)
 BRODIE LN (3188349)
 BRODIE LN (3188348)
 BRODIE LN (2043038)
 BRODIE LN (2043037)
 BRODIE LN (2043034)
 BRODIE LN (2041868)
 BRODIE LN (2025253)
 BRODIE LN (2025219)
 BRODIE LN (2025161)
 BRODIE LN (2025105)
 BRODIE LN (2025048)
 BRODIE LN (2025011)
 BRODIE LN (2024961)
 BRODIE LN (2024957)
 BRODIE LN (2024703)
 BRODIE LN (2026097)
 BRODIE LN (2026096)"
LONG LINE, TURK LN /  CULLEN LN,11/12/2018 13:21, TURK LN (2042175)
LONG LINE,  E CESAR CHAVEZ ST from   LINDEN ST  to   <br />SPRINGDALE RD ,11/12/2018 13:35," E CESAR CHAVEZ ST (2019616)
 E CESAR CHAVEZ ST (2019634)
 E CESAR CHAVEZ ST (2019636)
 E CESAR CHAVEZ ST (2019633)"
LONG LINE, EXPOSITION BLVD /  W 35TH ST,11/19/2018 7:35, EXPOSITION BLVD (2020042)
LONG LINE,222<br />S PLEASANT VALLEY RD ,11/21/2018 12:12, EDGE CREEK DR (2037381)
LONG LINE,  MASTERSON PASS from   GEORGIAN DR  to   <br />N LAMAR BLVD ,11/27/2018 16:17," MASTERSON PASS (2010481)
 MASTERSON PASS (2010469)"
LONG LINE, NEWNING AVE /  E RIVERSIDE DR,11/27/2018 16:36, NEWNING AVE (2019608)
LONG LINE, PARKER LN /  E OLTORF ST,11/28/2018 15:40, PARKER LN (2022851)
LONG LINE,2100<br />BARTON SPRINGS RD ,11/28/2018 15:53, BARTON SPRINGS RD (2021633)
LONG LINE,  PARK BEND DR from   N MOPAC EXPY NB  to   <br />CEDAR BEND DR ,12/6/2018 12:21," PARK BEND DR (2006434)
 PARK BEND DR (3303838)"
LONG LINE,4000  MC KINNEY FALLS PKWY from 4100  BURLESON RD  to 4000  <br />S US 183 HWY ,12/6/2018 12:36," MC KINNEY FALLS PKWY (2048626)
 MC KINNEY FALLS PKWY (2037596)
 MC KINNEY FALLS PKWY (2023266)
 MC KINNEY FALLS PKWY (2048597)
 MC KINNEY FALLS PKWY (3258095)
 MC KINNEY FALLS PKWY (3258096)
 MC KINNEY FALLS PKWY (3258093)
 MC KINNEY FALLS PKWY (3258092)
 MC KINNEY FALLS PKWY (2048596)"
LONG LINE,  BURLESON RD from   E BEN WHITE BLVD EB  to   <br />E STASSNEY LN ,12/6/2018 12:48," BURLESON RD (2041731)
 BURLESON RD (2023182)
 BURLESON RD (2023192)
 BURLESON RD (2041808)
 BURLESON RD (5399191)
 BURLESON RD (2023169)"
LONG LINE,  THAXTON RD from   SALT SPRINGS DR  to   <br />ALUM ROCK DR ,12/6/2018 12:55," THAXTON RD (2042190)
 THAXTON RD (2042188)
 THAXTON RD (2027616)
 THAXTON RD (2027615)
 THAXTON RD (2027614)
 THAXTON RD (2027612)
 THAXTON RD (2027611)
 THAXTON RD (2027609)
 THAXTON RD (3349572)"
LONG LINE, W 7TH ST / 600 ATLANTA ST,12/6/2018 13:20, W 7TH ST (2021674)
LONG LINE,  SESBANIA DR from 11200  BELLOWS FALLS AVE  to   <br />BELLOWS FALLS AVE ,12/13/2018 15:35, SESBANIA DR (3194776)
LONG LINE, ROGGE LN /  MANOR RD,12/14/2018 7:38, ROGGE LN (2016271)
LONG LINE, GUADALUPE ST /  W 21ST ST,12/17/2018 16:06, GUADALUPE ST (2017710)
LONG LINE,  TUSCANY WAY from   FERGUSON LN  to   <br />EXCHANGE DR ,1/10/2019 7:05, TUSCANY WAY (2031936)
LONG LINE,6700<br />JOHNNY MORRIS RD ,1/19/2019 8:58, JOHNNY MORRIS RD (2040939)
LONG LINE, SHOAL CREEK BLVD /  GREENLAWN PKWY,1/19/2019 14:09," GREENLAWN PKWY (2040106)
 GREENLAWN PKWY (2011219)
 SHOAL CREEK BLVD (2011218)"
LONG LINE, SHOAL CREEK BLVD /  FOSTER LN,1/19/2019 14:19, SHOAL CREEK BLVD (2010957)
LONG LINE,2225<br />E 7TH ST ,1/19/2019 14:22, E 7TH ST (3189838)
LONG LINE,  WATERFORD CENTRE BLVD from   RESEARCH BLVD NB  to   <br />BURNET RD ,1/22/2019 15:48, WATERFORD CENTRE BLVD (3268232)
LONG LINE, W SLAUGHTER LN /  MENCHACA RD,1/23/2019 16:14," RIDDLE RD (2027821)
 W SLAUGHTER LN (2027804)
 W SLAUGHTER LN (2027803)
 W SLAUGHTER LN (2048492)
 W SLAUGHTER LN (2043073)
 W SLAUGHTER LN (2042133)
 MENCHACA RD (2042129)
 W SLAUGHTER LN (3259506)
 W SLAUGHTER LN (3259505)
 W SLAUGHTER LN (3259502)
 W SLAUGHTER LN (3259501)
 MENCHACA RD (3194788)"
LONG LINE,4800<br />SHAW LN ,1/24/2019 7:22, SHAW LN (3316325)
LONG LINE,10300 LAKELINE BLVD / 10000 STAKED PLAINS DR,2/20/2019 15:53, LYNDHURST ST (2037739)
LONG LINE,10000 STAKED PLAINS DR / 10400 LAKELINE BLVD,2/20/2019 15:58, STAKED PLAINS DR (5102832)
LONG LINE,9800 BURNET RD / 2500 RUTLAND DR,2/20/2019 16:00, BURNET RD (2010148)
LONG LINE,  CEDAR BEND DR from   N MOPAC EXPY NB  to   <br />RUNNING BIRD LN ,2/20/2019 16:03," TOMANET TRL (2006291)
 CEDAR BEND DR (2006313)
 RENFERT WAY (2039287)
 CEDAR BEND DR (2006426)
 CEDAR BEND DR (2006423)
 CEDAR BEND DR (2006418)
 ALDERBROOK DR (2006394)
 CEDAR BEND DR (2006389)
 CEDAR BEND DR (2006358)
 CEDAR BEND DR (2006347)
 CEDAR BEND DR (3303858)"
LONG LINE, NEWPORT AVE /  MIDDLE FISKVILLE RD,2/21/2019 7:30, MIDDLE FISKVILLE RD (2010603)
LONG LINE,  CUMBERLAND RD from   CONGRESS AVE  to   <br />S 5TH ST ,2/25/2019 6:34," CUMBERLAND RD (2023940)
 CUMBERLAND RD (2023953)
 CUMBERLAND RD (2023922)
 CUMBERLAND RD (2023911)"
LONG LINE,  BANISTER LN from   W BEN WHITE BLVD EB  to   <br />RICHMOND AVE ,2/25/2019 6:51," BANISTER LN (2026409)
 BANISTER LN (2024271)
 BANISTER LN (2026358)"
LONG LINE,  LIGHTSEY RD from   S 1ST ST  to   <br />POWELL CIR ,2/25/2019 6:56, LIGHTSEY RD (2024085)
LONG LINE, REPUBLIC OF TEXAS BLVD /  TRAVIS COUNTRY CIR,2/28/2019 6:52," REPUBLIC OF TEXAS BLVD (2023868)
 TRAVIS COUNTRY CIR (2023867)"
LONG LINE,  LAS CIMAS PKWY from   S CAPITAL OF TEXAS HWY SB  to   <br />DEAD END ,2/28/2019 6:56, LAS CIMAS PKWY (2040900)
LONG LINE, TURK LN /  CULLEN LN,2/28/2019 7:57, CULLEN LN (2027923)
LONG LINE, METROPOLIS DR /  METLINK DR,2/28/2019 8:04," METROPOLIS DR (2046722)
 METROPOLIS DR (2046721)"
LONG LINE,1201 PEARL RETREAT LN /  E PARMER LN,3/8/2019 9:46, PEARL RETREAT LN (5085064)
LONG LINE,  BRADBURY LN from   DESSAU RD  to   <br />HARRISGLENN DR ,3/8/2019 9:52," BRADBURY LN (2006647)
 BRADBURY LN (2006641)"
LONG LINE,  PROSPECT AVE from   PEOPLES ST  to   <br />E 10TH ST ,3/11/2019 6:50," PROSPECT AVE (2018903)
 PROSPECT AVE (2018791)
 POQUITO ST (2018756)"
LONG LINE,11500 TATERWOOD DR / 10700 ANDERSON MILL RD,3/21/2019 6:57, TATERWOOD DR (2007392)
LONG LINE,  LAKEWOOD DR from   BEAUFORD DR  to   <br />N CAPITAL OF TEXAS HWY ,3/22/2019 6:44," LAKEWOOD DR (2012782)
 LAKEWOOD DR (2013699)
 LAKEWOOD DR (2013701)
 LAKEWOOD DR (2012814)
 LAKEWOOD DR (2012785)
 LAKEWOOD DR (2013754)
 LAKEWOOD DR (2012797)
 LAKEWOOD DR (2013702)
 LAKEWOOD DR (2013703)
 LAKEWOOD DR (2012804)
 LAKEWOOD DR (2039629)
 LAKEWOOD DR (2013752)
 LAKEWOOD DR (2013753)"
LONG LINE, PECAN BROOK DR /  MANOR RD,3/25/2019 6:36," PECAN BROOK DR (2015481)
 PECAN BROOK DR (2040509)"
LONG LINE, ELMONT DR /  S PLEASANT VALLEY RD,3/25/2019 6:47," ELMONT DR (5253355)
 ELMONT DR (5244809)"
LONG LINE,  BARTON SPRINGS RD from   DAWSON RD  to   <br />LEE BARTON DR ,3/25/2019 6:55, BARTON SPRINGS RD (2041251)
LONG LINE,  DORSETT RD from   HAWKHAVEN LN  to   <br />BROWN BARK PL ,3/25/2019 6:59," DORSETT RD (2005874)
 DORSETT RD (2005995)"
