Work Group,Location Name,Completed Date,Street Segment IDs
LONG LINE,  E STASSNEY LN from   PLEASANT VALLEY DR  to   <br />BURLESON RD ,5/11/2018 9:47," E STASSNEY LN (2023381)
 E STASSNEY LN (2023379)
 E STASSNEY LN (2023378)
 E STASSNEY LN (2043062)
 E STASSNEY LN (2043061)
 E STASSNEY LN (2043060)
 E STASSNEY LN (2041972)
 E STASSNEY LN (2023476)
 E STASSNEY LN (2023473)
 E STASSNEY LN (2023471)
 E STASSNEY LN (2023468)
 E STASSNEY LN (2023466)
 E STASSNEY LN (2023461)
 E STASSNEY LN (2023456)
 E STASSNEY LN (2023447)
 E STASSNEY LN (2023442)
 E STASSNEY LN (2023429)
 E STASSNEY LN (2023422)
 E STASSNEY LN (2023403)
 E STASSNEY LN (2023394)
 E STASSNEY LN (2023385)
 E STASSNEY LN (2023383)
 E STASSNEY LN (3261026)
 E STASSNEY LN (3261025)
 E STASSNEY LN (3261023)
 E STASSNEY LN (3261022)
 E STASSNEY LN (3261017)
 E STASSNEY LN (3261014)
 E STASSNEY LN (3261005)
 E STASSNEY LN (3261002)
 E STASSNEY LN (3260995)
 E STASSNEY LN (3260992)"
LONG LINE,  MONTOPOLIS DR from   GROVE BLVD  to   <br />E RIVERSIDE DR ,5/11/2018 12:35, MONTOPOLIS DR (2023054)
LONG LINE,  MONTOPOLIS DR from   BURLESON RD  to   <br />GROVE DR ,5/11/2018 12:40," MONTOPOLIS DR (2023216)
 MONTOPOLIS DR (2023183)
 MONTOPOLIS DR (2046794)
 MONTOPOLIS DR (3261121)
 MONTOPOLIS DR (3261116)
 MONTOPOLIS DR (3261115)
 MONTOPOLIS DR (3261113)
 MONTOPOLIS DR (3261098)
 MONTOPOLIS DR (3261097)
 MONTOPOLIS DR (3261093)
 MONTOPOLIS DR (3261092)
 MONTOPOLIS DR (3261082)
 MONTOPOLIS DR (3261081)
 MONTOPOLIS DR (3261079)
 MONTOPOLIS DR (3261047)
 MONTOPOLIS DR (3261046)
 MONTOPOLIS DR (3261044)
 MONTOPOLIS DR (3261043)
 MONTOPOLIS DR (3261037)
 MONTOPOLIS DR (3261036)
 MONTOPOLIS DR (3261034)
 MONTOPOLIS DR (3261033)
 MONTOPOLIS DR (3278897)"
LONG LINE,  PLEASANT VALLEY DR from   E ST ELMO RD  to   <br />PALO BLANCO LN ,5/11/2018 15:04," S PLEASANT VALLEY RD (2023248)
 S PLEASANT VALLEY RD (2023244)
 S PLEASANT VALLEY RD (2023243)
 S PLEASANT VALLEY RD (2023474)
 S PLEASANT VALLEY RD (2023416)
 S PLEASANT VALLEY RD (2023415)
 S PLEASANT VALLEY RD (2023384)
 S PLEASANT VALLEY RD (2023382)
 S PLEASANT VALLEY RD (2023339)
 S PLEASANT VALLEY RD (2023337)
 S PLEASANT VALLEY RD (2023317)
 S PLEASANT VALLEY RD (2023315)
 S PLEASANT VALLEY RD (2023285)
 S PLEASANT VALLEY RD (2023283)
 S PLEASANT VALLEY RD (2023269)
 S PLEASANT VALLEY RD (2023268)
 S PLEASANT VALLEY RD (2023260)
 S PLEASANT VALLEY RD (2023250)
 S PLEASANT VALLEY RD (5068720)
 S PLEASANT VALLEY RD (5068718)
 S PLEASANT VALLEY RD (5068716)
 S PLEASANT VALLEY RD (5068714)"
LONG LINE,  GROVE DR from   MONTOPOLIS DR  to   <br />HOGAN AVE ,5/15/2018 14:28," GROVE BLVD (2034002)
 GROVE BLVD (2038223)
 GROVE BLVD (2038222)
 GROVE BLVD (2041587)
 GROVE BLVD (2041586)
 GROVE BLVD (3261168)
 GROVE BLVD (3261167)
 GROVE BLVD (3261166)
 GROVE BLVD (3261165)
 GROVE BLVD (3261163)
 GROVE BLVD (3261155)
 GROVE BLVD (3261153)
 GROVE BLVD (3261144)
 GROVE BLVD (3261142)
 GROVE BLVD (3261136)
 GROVE BLVD (3261134)"
LONG LINE, FRONTIER TRL /  PACK SADDLE PASS,5/16/2018 9:55, FRONTIER TRL (2024209)
LONG LINE,  PLEASANT VALLEY DR from   PALO BLANCO LN  to   <br />NUCKOLS CROSSING RD ,5/17/2018 15:52," S PLEASANT VALLEY RD (2023557)
 S PLEASANT VALLEY RD (2023553)
 S PLEASANT VALLEY RD (2023545)
 S PLEASANT VALLEY RD (2023544)
 S PLEASANT VALLEY RD (2023530)
 S PLEASANT VALLEY RD (2023528)
 S PLEASANT VALLEY RD (2023520)
 S PLEASANT VALLEY RD (2023518)
 S PLEASANT VALLEY RD (2023510)
 S PLEASANT VALLEY RD (2023508)
 S PLEASANT VALLEY RD (2023504)
 S PLEASANT VALLEY RD (2023502)
 S PLEASANT VALLEY RD (2037015)"
LONG LINE,  PLEASANT VALLEY DR from   NUCKOLS CROSSING RD  to   <br />ONION CREEK DR ,5/17/2018 16:00," S PLEASANT VALLEY RD (2037016)
 S PLEASANT VALLEY RD (2023568)
 S PLEASANT VALLEY RD (2023627)
 S PLEASANT VALLEY RD (2023576)
 S PLEASANT VALLEY RD (2023574)
 S PLEASANT VALLEY RD (2023608)
 S PLEASANT VALLEY RD (2023605)"
LONG LINE,  E RIVERSIDE DR from   MONTOPOLIS DR  to   <br />FARO DR ,5/17/2018 16:08," E RIVERSIDE DR (2022979)
 E RIVERSIDE DR (2022978)
 E RIVERSIDE DR (2022969)
 E RIVERSIDE DR (2022965)
 E RIVERSIDE DR (2022954)
 E RIVERSIDE DR (2022952)
 E RIVERSIDE DR (2022937)
 E RIVERSIDE DR (2022935)
 E RIVERSIDE DR (2022920)
 E RIVERSIDE DR (2022919)
 E RIVERSIDE DR (2022900)
 E RIVERSIDE DR (2022897)"
LONG LINE,  N LAMAR BLVD from   W GUADALUPE ST  to   <br />CAPITOL CT ,5/18/2018 12:14, N LAMAR BLVD (2040518)
